code,name,best_ma,h_floor
601702,华峰铝业,65,19.78
601717,中创智领,180,24.52
601718,际华集团,235,3.33
601727,上海电气,225,8.6
601728,中国电信,240,5.79
601766,中国中车,105,6.26
601777,千里科技,215,10.37
601778,晶科科技,170,3.65
601788,光大证券,85,17.25
601789,宁波建工,235,5.14
601800,中国交建,95,8.16
601799,星宇股份,30,122.97
601801,皖新传媒,30,6.47
601798,蓝科高新,170,8.96
601808,中海油服,35,13.94
601811,新华文轩,30,13.39
601816,京沪高铁,145,5.2
601818,光大银行,180,3.24
601825,沪农商行,245,9.15
601827,三峰环境,30,8.24
601828,美凯龙,55,2.61
601838,成都银行,215,17.08
601857,中国石油,250,9.77
601858,中国科传,105,19.05
601860,紫金银行,235,2.72
601865,福莱特,55,15.98
601869,长飞光纤,165,81.32
601868,中国能建,225,2.39
601866,中远海发,240,2.51
601872,招商轮船,240,8.5
601877,正泰电器,225,28.09
601880,辽港股份,230,1.61
601881,中国银河,155,15.78
601878,浙商证券,105,10.83
601882,海天精工,70,19.01
601886,江河集团,150,7.88
601888,中国中免,75,70.17
